epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,10865.7,3.40247,4.66101,3.79142,0.7624,0.57623,0.6523,0.34421,3.39303,2.42727,3.53136,0.0083622,0.0083622,0.0083622
82,10998.6,3.40707,4.75417,3.81142,0.75188,0.58201,0.65126,0.34616,3.37778,2.44433,3.5131,0.00832349,0.00832349,0.00832349
83,11131.7,3.3927,4.66365,3.78066,0.73025,0.59427,0.65376,0.34183,3.39004,2.43573,3.52093,0.00828443,0.00828443,0.00828443
84,11264.7,3.42242,4.71473,3.79673,0.74094,0.59495,0.65135,0.34282,3.39599,2.41429,3.51965,0.00824502,0.00824502,0.00824502
85,11398.3,3.37719,4.61495,3.77979,0.7534,0.58972,0.65441,0.34504,3.40601,2.40129,3.51576,0.00820525,0.00820525,0.00820525
86,11530.9,3.40178,4.67059,3.7892,0.75689,0.58403,0.6567,0.34905,3.39533,2.39788,3.49855,0.00816514,0.00816514,0.00816514
87,11664.7,3.38881,4.58174,3.7783,0.75792,0.58718,0.66313,0.35397,3.39402,2.36955,3.48652,0.00812468,0.00812468,0.00812468
88,11797.4,3.37766,4.60055,3.78768,0.7444,0.6077,0.66591,0.35314,3.42008,2.35237,3.49938,0.00808389,0.00808389,0.00808389
89,11930.3,3.37863,4.63956,3.76712,0.76097,0.60303,0.67161,0.35796,3.3918,2.36601,3.47954,0.00804277,0.00804277,0.00804277
90,12063.8,3.35888,4.63642,3.76087,0.74445,0.61305,0.66991,0.35745,3.35612,2.34926,3.46199,0.00800131,0.00800131,0.00800131
91,12196.1,3.39111,4.64361,3.78189,0.76752,0.59324,0.67006,0.35504,3.37058,2.36331,3.48936,0.00795954,0.00795954,0.00795954
92,12329.2,3.3713,4.5632,3.7623,0.75559,0.61181,0.67162,0.35446,3.37542,2.34959,3.49445,0.00791744,0.00791744,0.00791744
93,12462,3.37729,4.59122,3.76681,0.7334,0.61353,0.66641,0.35004,3.37917,2.33727,3.48361,0.00787503,0.00787503,0.00787503
94,12595.1,3.382,4.55103,3.76663,0.73704,0.60959,0.66364,0.34933,3.39925,2.34491,3.48137,0.00783231,0.00783231,0.00783231
95,12727.8,3.34762,4.53023,3.74574,0.76156,0.60606,0.67209,0.35488,3.36133,2.34086,3.45846,0.00778929,0.00778929,0.00778929
96,12860.9,3.37619,4.59553,3.75694,0.77855,0.60207,0.67492,0.35795,3.3604,2.32193,3.46069,0.00774596,0.00774596,0.00774596
97,12993.4,3.37148,4.58893,3.74994,0.78123,0.60515,0.6735,0.35585,3.35794,2.3179,3.46123,0.00770234,0.00770234,0.00770234
98,13126.3,3.34648,4.54598,3.75299,0.75042,0.61702,0.6739,0.35986,3.34725,2.32352,3.4556,0.00765843,0.00765843,0.00765843
99,13258.8,3.34487,4.54892,3.74901,0.76366,0.60706,0.67268,0.35865,3.34845,2.30475,3.44957,0.00761423,0.00761423,0.00761423
100,13392,3.3374,4.52982,3.72492,0.76538,0.59925,0.67215,0.36171,3.34532,2.28062,3.45183,0.00756976,0.00756976,0.00756976
101,13525.4,3.35096,4.52542,3.74657,0.761,0.60092,0.67299,0.3618,3.31454,2.29776,3.43566,0.007525,0.007525,0.007525
