epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,50014.8,1.79755,1.62166,3.13865,0.79242,0.59499,0.70943,0.47052,2.61612,2.80759,3.31691,0.00494634,0.00494634,0.00494634
154,50459.7,1.7898,1.61336,3.1342,0.79309,0.60136,0.71292,0.47293,2.61344,2.79022,3.314,0.00489452,0.00489452,0.00489452
155,50903.5,1.7938,1.61248,3.12903,0.79893,0.60243,0.71283,0.4727,2.61271,2.77958,3.31213,0.00484272,0.00484272,0.00484272
156,51346.5,1.77929,1.58095,3.11972,0.79214,0.60142,0.71527,0.47517,2.60947,2.76191,3.30634,0.00479094,0.00479094,0.00479094
157,51789.8,1.7825,1.56659,3.11334,0.79361,0.60567,0.71836,0.47701,2.60891,2.7421,3.30425,0.00473919,0.00473919,0.00473919
158,52233.6,1.76695,1.58009,3.10932,0.79826,0.60845,0.72077,0.47948,2.60302,2.7269,3.29724,0.00468747,0.00468747,0.00468747
159,52677.4,1.75481,1.54584,3.09493,0.79637,0.60955,0.72186,0.48064,2.6015,2.71841,3.29534,0.00463579,0.00463579,0.00463579
160,53121.2,1.76134,1.54727,3.09869,0.79938,0.61352,0.72514,0.48284,2.60373,2.70644,3.29516,0.00458416,0.00458416,0.00458416
161,53566.4,1.75254,1.53403,3.08372,0.79819,0.61903,0.72774,0.48481,2.6023,2.68652,3.29429,0.00453258,0.00453258,0.00453258
162,54010.9,1.75878,1.52166,3.09394,0.80287,0.62034,0.73069,0.48709,2.60472,2.67222,3.29368,0.00448106,0.00448106,0.00448106
163,54456.1,1.7507,1.52063,3.08269,0.79475,0.61994,0.73314,0.48812,2.6056,2.65394,3.2906,0.0044296,0.0044296,0.0044296
164,54899.8,1.72885,1.47747,3.05833,0.7957,0.62028,0.73677,0.49158,2.60007,2.64451,3.28725,0.00437821,0.00437821,0.00437821
165,55343.9,1.73062,1.45151,3.06029,0.80567,0.61539,0.73855,0.4927,2.59668,2.63499,3.28726,0.00432689,0.00432689,0.00432689
166,55787.8,1.7397,1.46495,3.0683,0.7993,0.61652,0.73902,0.49316,2.59051,2.62584,3.28048,0.00427565,0.00427565,0.00427565
167,56231.2,1.72902,1.43774,3.05715,0.79591,0.62103,0.7381,0.49327,2.58735,2.62006,3.27625,0.00422449,0.00422449,0.00422449
168,56675.5,1.7283,1.42591,3.05821,0.79309,0.61711,0.73946,0.4928,2.58253,2.61285,3.27095,0.00417343,0.00417343,0.00417343
169,57120.1,1.71461,1.41252,3.03086,0.80741,0.62001,0.74118,0.49459,2.58106,2.60108,3.26856,0.00412246,0.00412246,0.00412246
170,57564.2,1.70531,1.4127,3.01874,0.80466,0.62169,0.74325,0.49793,2.57963,2.58345,3.26041,0.0040716,0.0040716,0.0040716
171,58007.7,1.69398,1.40271,3.01459,0.80483,0.62683,0.7445,0.49989,2.57655,2.56369,3.25532,0.00402084,0.00402084,0.00402084
172,58452.6,1.70449,1.39512,3.02434,0.80367,0.62694,0.74653,0.50171,2.57793,2.54481,3.2536,0.00397019,0.00397019,0.00397019
173,58896.6,1.69826,1.36038,3.01296,0.81355,0.63015,0.745,0.50209,2.57669,2.53692,3.25023,0.00391966,0.00391966,0.00391966
174,59340.1,1.69186,1.35466,2.99985,0.81248,0.62856,0.74796,0.50384,2.57521,2.51957,3.2473,0.00386926,0.00386926,0.00386926
175,59784.6,1.69594,1.3427,3.00735,0.8161,0.62734,0.74979,0.50595,2.572,2.50272,3.24271,0.00381899,0.00381899,0.00381899
176,60228.6,1.67571,1.30749,2.9895,0.80845,0.62996,0.75161,0.50679,2.56906,2.49128,3.23818,0.00376885,0.00376885,0.00376885
177,60672.4,1.6878,1.32782,2.99777,0.80571,0.63812,0.75423,0.50882,2.57161,2.46404,3.23682,0.00371885,0.00371885,0.00371885
178,61117.1,1.67347,1.32005,2.98811,0.79759,0.63699,0.75534,0.50855,2.56605,2.45577,3.23051,0.00366899,0.00366899,0.00366899
179,61561.1,1.66909,1.29414,2.98088,0.79361,0.64189,0.75536,0.50919,2.56477,2.44728,3.22815,0.00361929,0.00361929,0.00361929
180,62005.4,1.66165,1.28066,2.96782,0.79305,0.64452,0.7567,0.51142,2.56331,2.4388,3.22629,0.00356975,0.00356975,0.00356975
